Starting sarsa training
[INFO] [1743221450.211805, 177.549000]: Initial height of Gurdy: 0.06599061895905879
[INFO] [1743221451.401235, 178.210000]: Episode: 35/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.751 | Time: 44.4s | Head Height: 0.070
[INFO] [1743221451.508534, 178.271000]: Initial height of Gurdy: 0.07372298669853732
[INFO] [1743221452.721993, 178.983000]: Episode: 36/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.748 | Time: 45.7s | Head Height: 0.071
[INFO] [1743221452.825760, 179.052000]: Initial height of Gurdy: 0.07369312489758614
[INFO] [1743221453.999918, 179.735000]: Episode: 37/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.744 | Time: 47.0s | Head Height: 0.070
[INFO] [1743221454.129902, 179.815000]: Initial height of Gurdy: 0.07109111387822442
[INFO] [1743221455.197894, 180.383000]: Episode: 38/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.740 | Time: 48.2s | Head Height: 0.069
[INFO] [1743221455.302011, 180.450000]: Initial height of Gurdy: 0.07445377733514438
[INFO] [1743221456.430814, 181.086000]: Episode: 39/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.736 | Time: 49.4s | Head Height: 0.074
[INFO] [1743221456.580842, 181.176000]: Initial height of Gurdy: 0.07255390357962022
[INFO] [1743221457.690746, 181.799000]: Episode: 40/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.733 | Time: 50.7s | Head Height: 0.075
[INFO] [1743221457.822490, 181.915000]: Initial height of Gurdy: 0.07068995256715338
[INFO] [1743221458.830816, 182.434000]: Episode: 41/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.729 | Time: 51.8s | Head Height: 0.071
[INFO] [1743221459.082476, 182.545000]: Initial height of Gurdy: 0.06898363341172714
[INFO] [1743221460.215481, 183.176000]: Episode: 42/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.725 | Time: 53.2s | Head Height: 0.067
[INFO] [1743221460.323249, 183.235000]: Initial height of Gurdy: 0.07178044821606426
[INFO] [1743221461.490168, 183.901000]: Episode: 43/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.722 | Time: 54.5s | Head Height: 0.071
[INFO] [1743221461.593966, 183.953000]: Initial height of Gurdy: 0.07587425699700004
[INFO] [1743221462.715651, 184.458000]: Episode: 44/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.718 | Time: 55.7s | Head Height: 0.078
[INFO] [1743221462.888277, 184.537000]: Initial height of Gurdy: 0.07169980706915134
[INFO] [1743221463.885945, 185.125000]: Episode: 45/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.715 | Time: 56.9s | Head Height: 0.072
[INFO] [1743221463.993247, 185.185000]: Initial height of Gurdy: 0.07759325803007633
[INFO] [1743221464.882385, 185.671000]: Episode: 46/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.711 | Time: 57.9s | Head Height: 0.075
[INFO] [1743221464.990870, 185.718000]: Initial height of Gurdy: 0.06907442867894999
[INFO] [1743221465.907981, 186.208000]: Episode: 47/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.708 | Time: 58.9s | Head Height: 0.072
[INFO] [1743221466.014290, 186.252000]: Initial height of Gurdy: 0.0707573866514575
[INFO] [1743221466.800009, 186.624000]: Episode: 48/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.704 | Time: 59.8s | Head Height: 0.071
[INFO] [1743221466.904795, 186.676000]: Initial height of Gurdy: 0.07118285949114388
[INFO] [1743221467.940002, 187.199000]: Episode: 49/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.700 | Time: 60.9s | Head Height: 0.067
[INFO] [1743221468.094503, 187.272000]: Initial height of Gurdy: 0.07395553688097514
[INFO] [1743221469.090468, 187.805000]: Episode: 50/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.697 | Time: 62.1s | Head Height: 0.075
[INFO] [1743221469.203230, 187.874000]: Initial height of Gurdy: 0.07462991322390382
[INFO] [1743221470.199968, 188.477000]: Episode: 51/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.693 | Time: 63.2s | Head Height: 0.072
[INFO] [1743221470.307677, 188.536000]: Initial height of Gurdy: 0.07180801891967682
[INFO] [1743221471.386790, 189.103000]: Episode: 52/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.690 | Time: 64.4s | Head Height: 0.073
[INFO] [1743221471.493388, 189.167000]: Initial height of Gurdy: 0.07008801262278838
[INFO] [1743221472.532005, 189.766000]: Episode: 53/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.687 | Time: 65.5s | Head Height: 0.071
[INFO] [1743221472.676933, 189.836000]: Initial height of Gurdy: 0.071692875946218
[INFO] [1743221473.681290, 190.435000]: Episode: 54/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.683 | Time: 66.7s | Head Height: 0.065
[INFO] [1743221473.788567, 190.492000]: Initial height of Gurdy: 0.0714551173452086
[INFO] [1743221474.800408, 191.036000]: Episode: 55/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.680 | Time: 67.8s | Head Height: 0.075
[INFO] [1743221474.917540, 191.140000]: Initial height of Gurdy: 0.07545571811291452
[INFO] [1743221476.019891, 191.796000]: Episode: 56/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.676 | Time: 69.0s | Head Height: 0.075
[INFO] [1743221476.175322, 191.873000]: Initial height of Gurdy: 0.06940402740805258
